html_file,html_word_count,firebase_collection,firebase_asset_id,firebase_asset_name,html_text_in_asset_pct,asset_text_in_html_pct,migration_percentage,migration_status
mythos/tarot/deities/high-priestess.html,1115,archetypes,archetypes,Archetypes,0.6,30.0,15.3,Not Migrated
mythos/christian/texts/revelation/gog-magog.html,264,items,gjallarhorn,Gjallarhorn,27.97,2.66,15.31,Not Migrated
FIREBASE/visualizations/globe-timeline.html,96,items,kusanagi,Kusanagi-no-Tsurugi,29.63,1.02,15.32,Not Migrated
mythos/christian/texts/revelation/parallels/exodus-parallels.html,1039,heroes,jewish_seven-seals,Eyes of Azrael,1.23,29.41,15.32,Not Migrated
visualizations/globe-timeline.html,96,items,kusanagi,Kusanagi-no-Tsurugi,29.63,1.02,15.32,Not Migrated
FIREBASE/mythos/christian/gnostic/grace-not-works.html,794,cosmology,christian_grace,Christian Cosmology,8.36,22.31,15.33,Not Migrated
mythos/christian/gnostic/grace-not-works.html,794,cosmology,christian_grace,Christian Cosmology,8.36,22.31,15.33,Not Migrated
FIREBASE/mythos/jewish/kabbalah/worlds/physics-integration.html,282,symbols,persian_faravahar,Persian Mythology,7.41,23.26,15.34,Not Migrated
FIREBASE/mythos/christian/texts/revelation/parallels/exodus-parallels.html,979,heroes,jewish_seven-seals,Eyes of Azrael,1.33,29.41,15.37,Not Migrated
FIREBASE/mythos/jewish/kabbalah/names/index.html,301,texts,christian_exodus-parallels,Plagues and New Exodus,4.69,26.09,15.39,Not Migrated
mythos/jewish/kabbalah/names/index.html,301,texts,christian_exodus-parallels,Plagues and New Exodus,4.69,26.09,15.39,Not Migrated
mythos/babylonian/cosmology/apsu.html,618,items,gae-bolg,Gae Bolg,26.15,4.69,15.42,Not Migrated
FIREBASE/mythos/jewish/kabbalah/sparks/index.html,394,symbols,persian_faravahar,Persian Mythology,5.29,25.58,15.43,Not Migrated
FIREBASE/mythos/roman/heroes/aeneas.html,657,heroes,greek_hero_odysseus,Odysseus,0.85,30.0,15.43,Not Migrated
mythos/jewish/kabbalah/sparks/index.html,394,symbols,persian_faravahar,Persian Mythology,5.29,25.58,15.43,Not Migrated
mythos/buddhist/cosmology/samsara.html,612,cosmology,buddhist_afterlife,"Bardo, Rebirth & Nirvana""",7.64,23.53,15.59,Not Migrated
FIREBASE/mythos/christian/gnostic/lost-sheep.html,761,items,kusanagi,Kusanagi-no-Tsurugi,26.13,5.15,15.64,Not Migrated
mythos/christian/gnostic/lost-sheep.html,761,items,kusanagi,Kusanagi-no-Tsurugi,26.13,5.15,15.64,Not Migrated
FIREBASE/mythos/christian/texts/revelation/seven-seals.html,175,items,gjallarhorn,Gjallarhorn,29.41,1.99,15.7,Not Migrated
FIREBASE/mythos/jewish/kabbalah/sefirot/keter.html,762,items,hofud,Höfuð - Heimdall's Sword,25.75,5.77,15.76,Not Migrated
mythos/jewish/kabbalah/sefirot/keter.html,762,items,hofud,Höfuð - Heimdall's Sword,25.75,5.77,15.76,Not Migrated
auth-modal-template.html,33,items,brisingamen,Brísingamen,31.25,0.32,15.79,Not Migrated
mythos/christian/lineage/davidic-line.html,1395,creatures,angels,Angels,0.82,30.77,15.79,Not Migrated
FIREBASE/mythos/christian/lineage/davidic-line.html,1392,creatures,angels,Angels,0.83,30.77,15.8,Not Migrated
mythos/christian/texts/revelation/structure.html,1094,texts,christian_heavenly-throne,Revelation 4,1.26,30.43,15.85,Not Migrated
FIREBASE/mythos/christian/texts/revelation/structure.html,1061,texts,christian_heavenly-throne,Revelation 4,1.3,30.43,15.87,Not Migrated
FIREBASE/theories/ai-analysis/wildest-theories.html,1435,symbols,persian_faravahar,Persian Mythology,1.68,30.23,15.96,Not Migrated
mythos/christian/texts/revelation/four-living-creatures.html,364,items,ark-of-covenant,Ark of the Covenant,27.78,4.14,15.96,Not Migrated
theories/ai-analysis/wildest-theories.html,1435,symbols,persian_faravahar,Persian Mythology,1.68,30.23,15.96,Not Migrated
FIREBASE/mythos/jewish/kabbalah/qlippot.html,1050,items,gandiva,Gandiva,25.17,6.86,16.02,Not Migrated
mythos/jewish/kabbalah/qlippot.html,1050,items,gandiva,Gandiva,25.17,6.86,16.02,Not Migrated
FIREBASE/mythos/christian/texts/revelation/christ-returns.html,304,items,apollo-bow,Apollo's Silver Bow,28.29,3.84,16.06,Not Migrated
mythos/comparative/gilgamesh-biblical/hero-quest.html,1997,heroes,jewish_magician-showdown,The Magician Showdown: Moses vs. Pharaoh's Sorcerers | Eyes of Azrael,0.62,31.58,16.1,Not Migrated
FIREBASE/mythos/christian/texts/revelation/gog-magog.html,231,items,gjallarhorn,Gjallarhorn,29.69,2.52,16.11,Not Migrated
FIREBASE/mythos/comparative/gilgamesh-biblical/hero-quest.html,1970,heroes,jewish_magician-showdown,The Magician Showdown: Moses vs. Pharaoh's Sorcerers | Eyes of Azrael,0.63,31.58,16.11,Not Migrated
visualizations/visualizations.html,277,items,gram,Gram/Balmung,28.99,3.25,16.12,Not Migrated
FIREBASE/mythos/christian/gnostic/irresistible-love.html,862,items,draupnir,Draupnir,26.42,5.89,16.16,Not Migrated
mythos/christian/gnostic/irresistible-love.html,862,items,draupnir,Draupnir,26.42,5.89,16.16,Not Migrated
